web-scraper-order,web-scraper-start-url,link,link-href,title,poster_url-src
1672162617-488,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Westworld,https://www.imdb.com/title/tt0475784/?ref_=adv_li_tt,Westworld,"https://m.media-amazon.com/images/M/MV5BZDg1OWRiMTktZDdiNy00NTZlLTg2Y2EtNWRiMTcxMGE5YTUxXkEyXkFqcGdeQXVyMTM2MDY0OTYx._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672162629-489,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",The Witcher: Origem do Sangue,https://www.imdb.com/title/tt12785720/?ref_=adv_li_tt,The Witcher: Origem do Sangue,"https://m.media-amazon.com/images/M/MV5BN2UwZjEzYTYtZTM4ZS00ZDE3LThmNDktOTA5NjBkYzc3N2RiXkEyXkFqcGdeQXVyMTUzNzc3NDAz._V1_QL75_UY281_CR6,0,190,281_.jpg"
1672162632-490,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Arquivo X,https://www.imdb.com/title/tt0106179/?ref_=adv_li_tt,Arquivo X,"https://m.media-amazon.com/images/M/MV5BZDA0MmM4YzUtMzYwZC00OGI2LWE0ODctNzNhNTkwN2FmNTVhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672162636-491,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",O Milagre,https://www.imdb.com/title/tt9288822/?ref_=adv_li_tt,O Milagre,"https://m.media-amazon.com/images/M/MV5BMzZjZmM2YjUtODU2My00YmU4LTk2MzktZDg5NzNlYmY3ZjNhXkEyXkFqcGdeQXVyMTA3MTI2ODc5._V1_QL75_UY281_CR6,0,190,281_.jpg"
1672162640-492,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Pânico,https://www.imdb.com/title/tt11245972/?ref_=adv_li_tt,Pânico,"https://m.media-amazon.com/images/M/MV5BNTIxYmFiMGItZjMzMS00MGUxLTkxZWUtZmVmNzg1ZDU3ZWY0XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672162644-493,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",O Pálido Olho Azul,https://www.imdb.com/title/tt14138650/?ref_=adv_li_tt,O Pálido Olho Azul,"https://m.media-amazon.com/images/M/MV5BMWNlM2YzODgtZTRjNi00YmMwLTkyYTAtMGZhYTNhMGY3ZWE3XkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672162648-494,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Dr. House,https://www.imdb.com/title/tt0412142/?ref_=adv_li_tt,Dr. House,"https://m.media-amazon.com/images/M/MV5BMDA4NjQzN2ItZDhhNC00ZjVlLWFjNTgtMTEyNDQyOGNjMDE1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UY281_CR1,0,190,281_.jpg"
1672162654-495,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Sandman,https://www.imdb.com/title/tt1751634/?ref_=adv_li_tt,Sandman,"https://m.media-amazon.com/images/M/MV5BYTM0NjZjYjItM2JiYS00NmU5LWJmMTMtZjQ0OWU3Mzk1ZWZjXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672162658-496,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Bem-Vindos à Vizinhança,https://www.imdb.com/title/tt14852808/?ref_=adv_li_tt,Bem-Vindos à Vizinhança,"https://m.media-amazon.com/images/M/MV5BMGZiMDcyYzgtOTdlNi00OGQ5LTlkOWUtOWY0ODdkMzcwMWM0XkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1672162661-497,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Veja Como Eles Correm,https://www.imdb.com/title/tt13640696/?ref_=adv_li_tt,Veja Como Eles Correm,"https://m.media-amazon.com/images/M/MV5BZDZlNmU0NmYtODI5Mi00ZDBkLWEyMGQtMGFiZGM1OWY4MjE0XkEyXkFqcGdeQXVyOTk2NDU3MTU@._V1_QL75_UY281_CR6,0,190,281_.jpg"
1672162665-498,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Murderville,https://www.imdb.com/title/tt15264192/?ref_=adv_li_tt,Murderville,"https://m.media-amazon.com/images/M/MV5BNzQ4MWI2ZWMtYWIyNi00ZDcxLWEzMzUtOTUyNjY2NTBlYWIzXkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_QL75_UY281_CR6,0,190,281_.jpg"
1672162668-499,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Um Lugar Bem Longe Daqui,https://www.imdb.com/title/tt9411972/?ref_=adv_li_tt,Um Lugar Bem Longe Daqui,"https://m.media-amazon.com/images/M/MV5BYmZjMDYzYmEtY2VlNS00Y2MwLTkwNzEtN2FkMjZlNDk0MjkwXkEyXkFqcGdeQXVyNTQ3MjAzNTM@._V1_QL75_UY281_CR18,0,190,281_.jpg"
1672162673-500,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Lista Negra,https://www.imdb.com/title/tt2741602/?ref_=adv_li_tt,Lista Negra,"https://m.media-amazon.com/images/M/MV5BNDFkZDI5ZGUtYTdkOC00YTFiLWJjNjMtNTQ3ZjIxMTY2ZjMyXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672162677-501,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Five Nights at Freddy's,https://www.imdb.com/title/tt4589218/?ref_=adv_li_tt,Five Nights at Freddy's,"https://m.media-amazon.com/images/M/MV5BMTU0N2E0YTItYjhiYS00YTEyLThmYWQtNWJiZTRhZWNkZTRjXkEyXkFqcGdeQVRoaXJkUGFydHlJbmdlc3Rpb25Xb3JrZmxvdw@@._V1_QL75_UX500_CR0,0,500,281_.jpg"
1672162681-502,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Black Mirror,https://www.imdb.com/title/tt2085059/?ref_=adv_li_tt,Black Mirror,"https://m.media-amazon.com/images/M/MV5BYTM3YWVhMDMtNjczMy00NGEyLWJhZDctYjNhMTRkNDE0ZTI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
1672162686-503,"https://www.imdb.com/search/title/?genres=mystery&explore=title_type,genres&pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=f1cf7b98-03fb-4a83-95f3-d833fdba0471&pf_rd_r=CM4KZ759BV5JSSY48F32&pf_rd_s=center-3&pf_rd_t=15051&pf_rd_i=genre&ref_=ft_gnr_pr3_i_2",Bones,https://www.imdb.com/title/tt0460627/?ref_=adv_li_tt,Bones,"https://m.media-amazon.com/images/M/MV5BMjA3ODMxMzM5NF5BMl5BanBnXkFtZTgwMDM1NjU0OTE@._V1_QL75_UX190_CR0,6,190,281_.jpg"
